ACRS Report Type,Date and Time,Route Type,Road Name,Municipality,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver At Fault,Injury Severity,Driver Distracted By,Vehicle Body Type,Vehicle Movement,Vehicle Continuing Dir,Vehicle Going Dir,Speed Limit,Vehicle Year,Vehicle Make,Wind Speed (MPH),TMP10-DK ,Relative Humidity (%),Rain (Inches)
Property Damage Crash,12-05-2022 12:25,County,ARCOLA AVE,N/A,SAME DIRECTION SIDESWIPE,N/A,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,OTHER DISTRACTION,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,East,East,30,2013,TOYOTA,9.4,177,54.8,0
Property Damage Crash,12-05-2022 12:54,Maryland (State),VEIRS MILL RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,YIELD SIGN,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,Unknown,Unknown,30,2011,TOYOTA,4.5,318,11.5,0
Injury Crash,12-05-2022 12:54,Maryland (State),VEIRS MILL RD,ROCKVILLE,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,East,45,2014,CADILLAC,6.7,54.9,43,0
Injury Crash,12-05-2022 14:50,Maryland (State),OLD GEORGETOWN RD,N/A,SAME DIR REAR END,RAINING,WET,DAYLIGHT,N/A,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,South,South,35,2009,HONDA,3.8,55.5,55,0
Property Damage Crash,12-05-2022 14:50,Maryland (State),GEORGIA AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,North,North,35,2015,TOYOTA,0,0,0,0
Injury Crash,12-05-2022 15:00,Maryland (State),COLESVILLE RD,N/A,SAME DIR REND RIGHT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,SLOWING OR STOPPING,North,North,35,2009,VOLKSWAGON,6.6,46.9,23.4,0
Property Damage Crash,12-05-2022 15:00,,,,OPPOSITE DIRECTION SIDESWIPE,CLEAR,,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,15,2001,TOYT,9.3,328,29.2,0
Injury Crash,12-05-2022 15:04,County,RANDOLPH RD,N/A,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,MAKING LEFT TURN,North,North,45,2017,TOYT,0,0,0,0
Property Damage Crash,12-05-2022 15:04,County,RANDOLPH RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,East,35,2007,HOND,0,0,0,0
Property Damage Crash,12-05-2022 15:04,Municipality,FIRSTFIELD RD,N/A,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,North,35,2016,TOYOTA,5.8,34.9,17,0
Property Damage Crash,12-05-2022 15:05,County,PEPPER RIDGE WAY,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,35,2003,HONDA,3.3,351,34,0
Injury Crash,12-05-2022 15:05,Maryland (State),NEW HAMPSHIRE AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,POSSIBLE INJURY,UNKNOWN,PASSENGER CAR,SLOWING OR STOPPING,North,North,45,2001,TOYT,0,0,0,0
Property Damage Crash,12-05-2022 15:24,Maryland (State),GEORGIA AVE,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,North,East,0,2014,KIA,8.4,36,32.6,0
Property Damage Crash,12-05-2022 16:31,Maryland (State),VEIRS MILL RD,N/A,SAME DIR REAR END,CLEAR,DRY,DARK NO LIGHTS,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,35,2009,SUBARU,1.4,346,45,0
Injury Crash,12-05-2022 16:31,US (State),COLESVILLE RD,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,MAKING LEFT TURN,East,North,35,2012,VOLKSWAGEN,4.5,210,44.8,0
Injury Crash,12-05-2022 17:07,Maryland (State),GEORGIA AVE,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,INATTENTIVE OR LOST IN THOUGHT,PASSENGER CAR,ACCELERATING,West,West,30,2014,CHEVROLET,13.5,185,54.2,0
Injury Crash,12-05-2022 17:07,Municipality,ROLLINS AVE,N/A,SAME DIRECTION LEFT TURN,RAINING,WET,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,STARTING FROM PARKED,West,West,25,2004,HOND,6.2,334,26.6,0
Property Damage Crash,12-05-2022 18:43,Maryland (State),UNIVERSITY BLVD E,N/A,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,East,40,2010,ACURA,0.8,35,30.9,0
Property Damage Crash,12-05-2022 18:43,County,NOTLEY RD,N/A,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,SLOWING OR STOPPING,North,North,30,2011,HONDA,0,0,0,0
Property Damage Crash,12-05-2022 18:53,Maryland (State),DARNESTOWN RD,N/A,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DAYLIGHT,N/A,No,NO APPARENT INJURY,NOT DISTRACTED,VAN,MOVING CONSTANT SPEED,East,East,40,1998,FORD,9,41.2,28.8,0
Property Damage Crash,12-05-2022 19:41,,,,SINGLE VEHICLE,N/A,,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,UNKNOWN,AMBULANCE/NON EMERGENCY,BACKING,North,North,15,2016,FRHT,0,0,0,0
Property Damage Crash,12-05-2022 19:41,County,TUCKERMAN LA,N/A,OPPOSITE DIRECTION SIDESWIPE,SNOW,SNOW,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,OTHER,STOPPED IN TRAFFIC LANE,Unknown,Unknown,30,2010,FORD,0,0,0,0
Property Damage Crash,12-05-2022 19:47,,,,OTHER,CLEAR,,DAYLIGHT,N/A,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,East,0,2021,HONDA,0,0,0,0
Property Damage Crash,12-05-2022 19:47,Maryland (State),MONTGOMERY AVE,N/A,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,30,2007,TOYT,0,0,0,0
Property Damage Crash,12-05-2022 19:57,County,LINDENWOOD DR,N/A,SAME DIRECTION LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,East,South,25,2018,ACUR,1.8,50.7,46.1,0
Property Damage Crash,12-05-2022 19:57,US (State),COLUMBIA PIKE,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Unknown,NO APPARENT INJURY,UNKNOWN,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,North,North,45,2003,FORD,3.5,310,26.7,0
Property Damage Crash,12-05-2022 21:00,Maryland (State),E JEFFERSON ST,ROCKVILLE,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,ACCELERATING,South,South,30,2015,TOYOTA,5.9,334,22.5,0
Injury Crash,12-05-2022 21:00,County,QUEEN ELIZABETH DR,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,Yes,SUSPECTED MINOR INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,30,2011,TOTOTA,3.3,122,31.1,0
Property Damage Crash,01-06-2022 11:00,,,,STRAIGHT MOVEMENT ANGLE,N/A,,N/A,N/A,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,East,5,2015,MINI COOPER,3,160,44.8,0
Property Damage Crash,01-06-2022 11:00,Maryland (State),VEIRS MILL RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,East,35,2017,HONDA,2.8,66,35,0.04
Property Damage Crash,01-06-2022 11:16,County,SEVEN LOCKS RD,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,West,North,35,2018,HYUN,0,0,0,0
Property Damage Crash,01-06-2022 11:16,County,FENTON ST,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,OTHER ELECTRONIC DEVICE (NAVIGATIONAL PALM PILOT),PASSENGER CAR,MOVING CONSTANT SPEED,West,West,30,2016,TOYOTA,0,0,0,0
Property Damage Crash,01-06-2022 12:15,County,FENTON ST,N/A,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,Unknown,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,UNKNOWN,South,Unknown,30,2008,DODGE,6.3,159,34.1,0
Property Damage Crash,01-06-2022 12:15,Maryland (State),DARNESTOWN RD,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,N/A,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,East,East,30,2008,LEXU,0,0,0,0
Property Damage Crash,01-06-2022 14:54,Maryland (State),ROCKVILLE PIKE,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,2012,TOYOTA,3.6,357,29.9,0.01
Property Damage Crash,01-06-2022 14:54,Maryland (State),FREDERICK RD,GAITHERSBURG,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MAKING LEFT TURN,South,West,30,2017,GMC,4.1,319,29.8,0
Property Damage Crash,01-06-2022 14:54,Municipality,NEW HAMPSHIRE AVE SERV RD,TAKOMA PARK,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,POLICE VEHICLE/EMERGENCY,PARKED,,,0,2014,FORD,3.1,320,52.1,0.01
Injury Crash,01-06-2022 14:54,US (State),COLUMBIA PIKE,N/A,ANGLE MEETS LEFT HEAD ON,CLEAR,DRY,DAWN,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,MAKING LEFT TURN,East,South,40,2016,MERCEDES,0,0,0,0
Injury Crash,01-06-2022 15:21,Maryland (State),RIVER RD,N/A,ANGLE MEETS LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,East,35,2017,TOYT,3.6,255,42.4,0
Property Damage Crash,01-06-2022 15:21,Maryland (State),DARNESTOWN RD,N/A,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,PICKUP TRUCK,SLOWING OR STOPPING,East,East,35,2008,CHEVROLET,2.9,187,52,0.01
Property Damage Crash,01-06-2022 15:22,Maryland (State),UNIVERSITY BLVD W,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,N/A,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,40,2006,PONTIAC,0,0,0,0
Injury Crash,01-06-2022 15:22,Maryland (State),OLNEY LAYTONSVILLE RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,VAN,MOVING CONSTANT SPEED,West,West,40,2000,FORD,0,0,0,0
Property Damage Crash,01-06-2022 15:35,County,EAST VILLAGE AVE,N/A,SINGLE VEHICLE,CLOUDY,WET,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,35,2003,FORD,5.3,276,30.2,0
Property Damage Crash,01-06-2022 15:35,County,ARCOLA AVE,N/A,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,NO APPARENT INJURY,INATTENTIVE OR LOST IN THOUGHT,PASSENGER CAR,ACCELERATING,Unknown,South,25,2016,HYUNDAI,8.2,184,24.7,0
Injury Crash,01-06-2022 16:09,County,FAIRDALE RD,N/A,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,SUSPECTED MINOR INJURY,UNKNOWN,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,25,2015,SUBARU,0,0,0,0
Property Damage Crash,01-06-2022 16:09,Maryland (State),UNIVERSITY BLVD W,N/A,ANGLE MEETS RIGHT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MAKING LEFT TURN,North,North,25,2004,TOYT,10.6,45.7,31.6,0
Property Damage Crash,01-06-2022 18:20,Maryland (State),CARROLL AVE,N/A,OTHER,CLOUDY,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,UNKNOWN,,MOVING CONSTANT SPEED,South,South,40,0,UNKNOWN,3.6,35.2,23.5,0
Property Damage Crash,01-06-2022 18:33,Municipality,E DIAMOND AVE,GAITHERSBURG,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,POLICE VEHICLE/NON EMERGENCY,STOPPED IN TRAFFIC LANE,West,West,30,2018,DODGE,1.7,34.5,23.3,0
Injury Crash,01-06-2022 18:33,County,BRIGGS CHANEY RD,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,N/A,Yes,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,MAKING LEFT TURN,East,South,40,2012,HYUN,3.3,53.1,51.5,0
Property Damage Crash,01-06-2022 18:43,Maryland (State),ASHTON RD,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,35,2017,KIA,5.6,292,30.8,0
Property Damage Crash,01-06-2022 18:43,Maryland (State),GEORGIA AVE,N/A,UNKNOWN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,OTHER,MOVING CONSTANT SPEED,North,North,35,0,XXXX,0,0,0,0
Property Damage Crash,01-06-2022 19:04,County,CHESTNUT GLEN RD,N/A,SAME DIRECTION SIDESWIPE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STARTING FROM PARKED,North,North,25,2005,HOND,9.2,347,16.6,0
Property Damage Crash,01-06-2022 19:04,Maryland (State),EAST WEST HWY,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,MAKING LEFT TURN,North,East,35,2018,ACURA,1.8,33,25.6,0
Property Damage Crash,01-06-2022 20:50,,,,SINGLE VEHICLE,CLEAR,,DARK LIGHTS ON,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,PARKING,North,North,15,2010,TOYOTA,0,0,0,0
Property Damage Crash,01-06-2022 20:50,Maryland (State),GEORGIA AVE,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,2001,FORD,5.9,282,18.8,0
Property Damage Crash,02-06-2022 00:30,Maryland (State),NORBECK RD,N/A,SAME DIRECTION SIDESWIPE,RAINING,WET,DAYLIGHT,STOP SIGN,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,West,East,35,2015,HOND,5.2,59.6,46.2,0
Injury Crash,02-06-2022 00:30,Maryland (State),NORBECK RD,N/A,SAME DIR REAR END,RAINING,WET,DAYLIGHT,NO CONTROLS,No,SUSPECTED SERIOUS INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,East,East,40,2012,JEEP,11.2,318,-0.7,0
Property Damage Crash,02-06-2022 01:10,County,CONNECTICUT AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,SLOWING OR STOPPING,North,North,40,2013,HONDA,2.8,112,31,0
Injury Crash,02-06-2022 01:10,County,NICHOLSON LA,N/A,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,No,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,35,2016,TOYOTA,6.3,354,28.1,0
Injury Crash,02-06-2022 01:20,Maryland (State),DICKERSON RD,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAWN,NO CONTROLS,Yes,POSSIBLE INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,North,East,40,2012,KIA,8.2,163,4.4,0
Property Damage Crash,02-06-2022 01:20,Maryland (State),GEORGIA AVE,N/A,ANGLE MEETS LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,UNKNOWN,UNKNOWN,MAKING LEFT TURN,West,North,25,0,UNKNOWN,18.8,177,21.1,0
Property Damage Crash,02-06-2022 01:22,County,MONTROSE RD,N/A,SAME DIR REAR END,CLOUDY,DRY,DARK LIGHTS ON,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,West,West,40,2016,SUBARU,0,0,0,0
Property Damage Crash,02-06-2022 01:22,County,ASHLEY DR,N/A,OTHER,N/A,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,OTHER DISTRACTION,SCHOOL BUS,SLOWING OR STOPPING,South,South,15,0,UNKNOWN,2.9,201,23.6,0
Property Damage Crash,02-06-2022 01:25,County,BRINK RD,N/A,SAME DIRECTION SIDESWIPE,FOGGY,WET,DARK NO LIGHTS,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,40,2017,SUBA,5,210,25,0
Property Damage Crash,02-06-2022 02:58,County,MONTROSE RD,ROCKVILLE,SAME DIR REAR END,CLEAR,WET,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,OTHER DISTRACTION,POLICE VEHICLE/NON EMERGENCY,SLOWING OR STOPPING,West,West,35,2016,FORD,0,0,0,0
Injury Crash,02-06-2022 02:58,County,WATKINS MILL RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,POSSIBLE INJURY,OTHER DISTRACTION,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,2006,TOYT,10.7,315,21.1,0
Property Damage Crash,02-06-2022 03:21,,,,OPPOSITE DIRECTION SIDESWIPE,CLEAR,,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,OTHER,PARKING,North,North,5,2000,FORD,12.5,179,37.4,0
Injury Crash,02-06-2022 06:31,Maryland (State),KNOWLES AVE,KENSINGTON,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DAYLIGHT,STOP SIGN,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,West,West,30,2016,LEXUS,7.7,46.5,29.8,0
Injury Crash,02-06-2022 07:39,Maryland (State),UNIVERSITY BLVD E,N/A,SAME DIRECTION SIDESWIPE,N/A,DRY,DARK LIGHTS ON,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,40,2012,MERCEDEZ,0,0,0,0
Property Damage Crash,02-06-2022 07:44,County,MUDDY BRANCH RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,YIELD SIGN,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,SLOWING OR STOPPING,East,North,25,2011,MNNI,4.9,358,33.4,0
Property Damage Crash,02-06-2022 10:10,Maryland (State),RIDGE RD,N/A,ANGLE MEETS RIGHT TURN,CLOUDY,DRY,DUSK,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,TRUCK TRACTOR,MOVING CONSTANT SPEED,North,North,30,2014,PETERBLT,0,0,0,0
Property Damage Crash,02-06-2022 10:10,County,CATTAIL RD,POOLESVILLE,SINGLE VEHICLE,SNOW,SNOW,DARK NO LIGHTS,N/A,Yes,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,South,South,30,2001,FORD,1,36,22.5,0
Injury Crash,02-06-2022 10:57,County,WOODMONT AVE,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,East,East,25,2013,HOND,1.4,29.8,23.2,0
Injury Crash,02-06-2022 10:57,,,,OTHER,N/A,,DAYLIGHT,RAILWAY CROSSING DEVICE,No,NO APPARENT INJURY,NOT DISTRACTED,OTHER,MOVING CONSTANT SPEED,East,East,45,2015,MARC,13.9,177,39.8,0
Property Damage Crash,02-06-2022 11:04,County,VEIRS MILL RD,N/A,STRAIGHT MOVEMENT ANGLE,N/A,DRY,DARK LIGHTS ON,YIELD SIGN,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,45,1999,VOLKS,6.3,187,24.3,0
Injury Crash,02-06-2022 11:04,Maryland (State),GEORGIA AVE,N/A,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,N/A,Yes,NO APPARENT INJURY,DISTRACTED BY OUTSIDE PERSON OBJECT OR EVENT,TRANSIT BUS,MOVING CONSTANT SPEED,West,North,35,2006,TRANSIT,3.8,36.1,20.8,0
Property Damage Crash,02-06-2022 11:10,County,E WAYNE AVE,N/A,SAME DIR REND LEFT TURN,CLEAR,N/A,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,"MEDIUM/HEAVY TRUCKS 3 AXLES (OVER 10,000LBS (4,536KG))",SLOWING OR STOPPING,East,North,25,2005,PETE,4.2,317,29.6,0
Property Damage Crash,02-06-2022 11:59,Maryland (State),NEW HAMPSHIRE AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,POLICE VEHICLE/NON EMERGENCY,SLOWING OR STOPPING,South,South,40,2014,FORD,2.3,120,15.9,0
Property Damage Crash,02-06-2022 11:59,Maryland (State),OLD GEORGETOWN RD,N/A,SAME DIR REAR END,CLEAR,N/A,DARK LIGHTS ON,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,North,40,2015,FORD,0,0,0,0
Property Damage Crash,02-06-2022 12:00,County,NICHOLSON LA,N/A,SAME DIR REAR END,N/A,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,East,35,1996,TOYOTA,2,31.5,24,0
Injury Crash,02-06-2022 12:00,County,SHADY GROVE RD,N/A,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,No,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,ACCELERATING,North,West,40,2016,TOYOTA,0,0,0,0
Property Damage Crash,02-06-2022 12:54,Maryland (State),GREAT SENECA HWY,N/A,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,South,South,50,2011,FORD,3.2,46.2,43.3,0
Property Damage Crash,02-06-2022 12:54,County,SANGAMORE RD,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STARTING FROM LANE,East,East,30,1998,LEXUS,3,32.2,23.2,0
Property Damage Crash,02-06-2022 14:05,County,SOUTHLAWN LA,ROCKVILLE,ANGLE MEETS LEFT HEAD ON,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,30,2002,HONDA,0,0,0,0
Property Damage Crash,02-06-2022 14:05,County,FATHER HURLEY BLVD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,East,East,40,2017,HONDA,2.9,36.2,35.8,0
